Date,Stage,Home,Away,Home_goals,Away_goals,Home_shots,Home_shots_on_target,Home_possession,Home_fouls,Home_yellow,Home_red,Home_offsides,Home_corners,Away_shots,Away_shots_on_target,Away_possession,Away_fouls,Away_yellow,Away_red,Away_offsides,Away_corners,Extra_time,Home_extra_goals,Away_extra_goals,Penalties,Home_PK_taken,Home_PK_made,Away_PK_taken,Away_PK_made
2018-06-14,Group-1,Russia,Saudi Arabia,5,0,14,7,38,22,1,0,3,6,6,0,62,10,1,0,1,2,,,,,,,,
2018-06-15,Group-1,Egypt,Uruguay,0,1,8,3,41,12,2,0,1,0,15,5,59,6,0,0,1,5,,,,,,,,
2018-06-15,Group-1,Morocco,Iran,0,1,13,3,68,22,1,0,0,5,9,2,32,14,3,0,0,2,,,,,,,,
2018-06-15,Group-1,Portugal,Spain,3,3,9,3,33,12,1,0,1,4,13,6,67,10,1,0,3,5,,,,,,,,
2018-06-16,Group-1,France,Australia,2,1,12,5,55,16,1,0,0,5,6,1,45,19,3,0,0,1,,,,,,,,
2018-06-16,Group-1,Argentina,Iceland,1,1,27,7,78,10,0,0,0,10,8,2,22,15,0,0,0,2,,,,,,,,
2018-06-16,Group-1,Peru,Denmark,0,1,17,6,54,10,1,0,5,3,10,3,46,18,2,0,3,7,,,,,,,,
2018-06-16,Group-1,Croatia,Nigeria,2,0,11,2,55,20,2,0,2,6,14,2,45,16,1,0,1,5,,,,,,,,
2018-06-17,Group-1,Costa Rica,Serbia,0,1,10,3,53,18,2,0,1,5,10,3,47,15,2,0,3,4,,,,,,,,
2018-06-17,Group-1,Germany,Mexico,0,1,26,9,67,10,2,0,1,8,13,4,33,16,2,0,1,1,,,,,,,,
2018-06-17,Group-1,Brazil,Switzerland,1,1,21,5,55,11,1,0,1,7,6,2,45,19,3,0,0,2,,,,,,,,
2018-06-18,Group-1,Sweden,South Korea,1,0,15,4,56,20,1,0,1,6,5,0,44,23,2,0,0,5,,,,,,,,
2018-06-18,Group-1,Belgium,Panama,3,0,15,6,62,17,3,0,1,9,7,2,38,18,5,0,2,3,,,,,,,,
2018-06-18,Group-1,Tunisia,England,1,2,6,1,39,14,0,0,2,2,18,8,61,8,1,0,3,7,,,,,,,,
2018-06-19,Group-1,Colombia,Japan,1,2,8,3,38,15,2,1,2,3,14,6,62,9,1,0,1,6,,,,,,,,
2018-06-19,Group-1,Poland,Senegal,1,2,11,4,61,8,1,0,3,3,8,2,39,15,2,0,2,3,,,,,,,,
2018-06-19,Group-2,Russia,Egypt,3,1,11,3,49,11,1,0,0,7,13,1,51,10,1,0,0,4,,,,,,,,
2018-06-20,Group-2,Portugal,Morocco,1,0,10,2,45,19,1,0,1,5,15,4,55,23,1,0,1,7,,,,,,,,
2018-06-20,Group-2,Uruguay,Saudi Arabia,1,0,13,3,47,10,0,0,1,3,8,2,53,13,0,0,2,4,,,,,,,,
2018-06-20,Group-2,Iran,Spain,0,1,7,0,22,14,2,0,2,2,18,5,78,14,0,0,1,6,,,,,,,,
2018-06-21,Group-2,Denmark,Australia,1,1,10,5,47,7,2,0,1,3,13,4,53,5,0,0,0,5,,,,,,,,
2018-06-21,Group-2,France,Peru,1,0,12,4,43,11,2,0,0,5,10,2,57,15,2,0,1,3,,,,,,,,
2018-06-21,Group-2,Argentina,Croatia,0,3,10,3,58,16,3,0,3,5,14,5,42,22,4,0,3,2,,,,,,,,
2018-06-22,Group-2,Brazil,Costa Rica,2,0,22,10,72,11,2,0,3,9,3,0,28,11,1,0,3,1,,,,,,,,
2018-06-22,Group-2,Nigeria,Iceland,2,0,16,4,62,9,1,0,1,6,9,3,38,10,0,0,0,5,,,,,,,,
2018-06-22,Group-2,Serbia,Switzerland,1,2,13,3,37,17,4,0,0,3,20,5,63,13,1,0,3,7,,,,,,,,
2018-06-23,Group-2,Belgium,Tunisia,5,2,23,12,49,12,0,0,3,5,16,5,51,13,1,0,3,2,,,,,,,,
2018-06-23,Group-2,South Korea,Mexico,1,2,17,6,41,24,4,0,0,7,13,5,59,7,0,0,0,5,,,,,,,,
2018-06-23,Group-2,Germany,Sweden,2,1,18,6,76,12,0,1,5,8,7,5,24,13,2,0,2,3,,,,,,,,
2018-06-24,Group-2,England,Panama,6,1,11,7,60,13,1,0,3,3,8,2,40,13,3,0,0,2,,,,,,,,
2018-06-24,Group-2,Japan,Senegal,2,2,7,3,57,8,2,0,2,2,15,7,43,15,3,0,4,5,,,,,,,,
2018-06-24,Group-2,Poland,Colombia,0,3,9,2,45,15,2,0,1,7,13,4,55,10,0,0,1,5,,,,,,,,
2018-06-25,Group-3,Saudi Arabia,Egypt,2,1,23,8,65,7,0,0,1,7,7,1,35,16,2,0,3,2,,,,,,,,
2018-06-25,Group-3,Uruguay,Russia,3,0,16,6,58,17,1,0,0,4,3,1,42,18,1,1,2,2,,,,,,,,
2018-06-25,Group-3,Iran,Portugal,1,1,7,2,26,16,2,0,1,1,14,4,74,11,4,0,1,5,,,,,,,,
2018-06-25,Group-3,Spain,Morocco,2,2,18,5,75,5,0,0,1,7,6,3,25,17,6,0,1,1,,,,,,,,
2018-06-26,Group-3,Australia,Peru,0,2,14,2,58,14,4,0,3,8,4,3,42,12,2,0,1,3,,,,,,,,
2018-06-26,Group-3,Denmark,France,0,0,5,2,32,10,1,0,1,4,11,3,68,10,0,0,1,2,,,,,,,,
2018-06-26,Group-3,Nigeria,Argentina,1,2,9,3,33,20,2,0,0,3,8,4,67,15,3,0,2,5,,,,,,,,
2018-06-26,Group-3,Iceland,Croatia,1,2,16,6,38,10,3,0,1,10,14,2,62,11,2,0,2,5,,,,,,,,
2018-06-27,Group-3,Mexico,Sweden,0,3,20,3,67,14,3,0,2,7,15,5,33,11,2,0,0,3,,,,,,,,
2018-06-27,Group-3,South Korea,Germany,2,0,12,5,26,16,4,0,0,3,28,6,74,7,0,0,1,9,,,,,,,,
2018-06-27,Group-3,Switzerland,Costa Rica,2,2,13,3,63,9,3,0,1,6,14,6,37,14,3,0,1,5,,,,,,,,
2018-06-27,Group-3,Serbia,Brazil,0,2,10,2,41,13,3,0,2,5,14,6,59,7,0,0,4,9,,,,,,,,
2018-06-28,Group-3,Senegal,Colombia,0,1,7,3,40,15,1,0,3,1,4,2,60,15,1,0,3,3,,,,,,,,
2018-06-28,Group-3,Japan,Poland,0,1,10,3,55,11,1,0,1,5,11,2,45,8,0,0,0,7,,,,,,,,
2018-06-28,Group-3,England,Belgium,0,1,11,2,46,11,0,0,3,7,14,4,54,14,2,0,1,2,,,,,,,,
2018-06-28,Group-3,Panama,Tunisia,1,2,9,4,30,18,3,0,4,0,14,6,70,19,3,0,1,6,,,,,,,,
2018-06-30,Last-16,France,Argentina,4,3,9,4,39,21,3,0,0,0,10,4,61,15,5,0,1,4,N,,,N,,,,
2018-06-30,Last-16,Uruguay,Portugal,2,1,5,3,33,13,0,0,0,2,20,5,67,13,1,0,1,10,N,,,N,,,,
2018-07-01,Last-16,Spain,Russia,1,1,24,9,79,5,1,0,1,6,7,1,21,19,2,0,1,5,Y,0,0,Y,5,3,4,4
2018-07-01,Last-16,Croatia,Denmark,1,1,20,6,54,5,0,0,2,5,14,3,46,19,1,0,0,4,Y,0,0,Y,5,3,5,2
2018-07-02,Last-16,Brazil,Mexico,2,0,20,10,48,6,2,0,0,8,14,1,52,17,4,0,2,7,N,,,N,,,,
2018-07-02,Last-16,Belgium,Japan,3,2,24,8,58,13,0,0,1,10,11,4,42,9,1,0,1,6,N,,,N,,,,
2018-07-03,Last-16,Sweden,Switzerland,1,0,12,3,32,11,1,0,1,3,18,4,68,13,2,1,0,11,N,,,N,,,,
2018-07-03,Last-16,Colombia,England,1,1,14,4,47,23,6,0,1,2,16,2,53,13,2,0,2,7,Y,0,0,Y,5,3,5,4
2018-07-06,QFinals,Uruguay,France,0,2,11,4,38,17,2,0,0,4,11,2,62,15,2,0,0,3,N,,,N,,,,
2018-07-06,QFinals,Brazil,Belgium,1,2,27,9,59,14,2,0,1,8,9,3,41,16,2,0,0,4,N,,,N,,,,
2018-07-07,QFinals,Sweden,England,0,2,6,3,42,10,2,0,2,1,12,2,58,7,1,0,1,6,N,,,N,,,,
2018-07-07,QFinals,Russia,Croatia,2,2,13,5,35,25,1,0,1,6,18,3,65,18,4,0,0,8,Y,1,1,Y,5,3,5,4
2018-07-10,SFinals,France,Belgium,1,0,19,5,36,6,2,0,1,4,9,3,64,16,3,0,1,5,N,,,N,,,,
2018-07-11,SFinals,Croatia,England,2,1,22,7,56,23,2,0,1,8,11,2,44,14,1,0,3,4,Y,1,0,N,,,,
2018-07-14,Third-Place,Belgium,England,2,0,12,4,42,11,1,0,1,4,15,6,58,4,2,0,0,5,N,,,N,,,,
2018-07-15,Final,Croatia,France,4,2,7,6,34,13,2,0,1,2,14,4,66,13,1,0,1,6,N,,,N,,,,